P,CompletionCode,Depth,Stimulus,Recognition,Missed,Trivia,TriviaCorrect
1,BRQKF,shallow,abstract,65,6,29,9
2,ZN54H,shallow,abstract,60,5,26,13
3,4P45K,deep,abstract,70,0,26,9
4,CEXXZ,deep,abstract,77.5,2,30,15
5,F8CWB,deep,abstract,90,4,14,4
6,ZGRMH,deep,meaningful,95,7,30,15
7,6988N,deep,abstract,77.5,2,5,4
8,EYVYB,deep,meaningful,97.5,0,21,7
9,5YCQP,shallow,meaningful,87.5,2,13,7
10,SWA2L,deep,meaningful,97.5,1,25,14
11,AQLZ4,deep,meaningful,75,7,37,20
12,2FRFV,shallow,meaningful,82.5,0,20,6
13,9NP7W,shallow,abstract,60,3,22,6
14,P97XZ,shallow,meaningful,92.5,18,13,11
15,5M357,deep,meaningful,92.5,2,18,9
16,FZ6L8,deep,meaningful,82.5,10,11,7
17,MA3HT,shallow,abstract,72.5,2,35,13
18,VHPF2,deep,abstract,80,1,17,4
19,KHATZ,shallow,meaningful,95,2,11,4
20,SBUJG,deep,meaningful,87.5,1,23,10
21,UHXRQ,deep,meaningful,92.5,1,13,4
22,XYWYW,shallow,meaningful,50,4,4,3
23,VEGGC,deep,meaningful,95,1,17,11
24,92BYC,deep,abstract,50,1,3,2
25,7YRU6,deep,abstract,62.5,6,1,0
26,F7LX9,deep,meaningful,90,2,10,3
27,3984X,deep,abstract,70,1,125,36
28,R8FGC,deep,abstract,85,1,29,15
29,T9MFC,shallow,abstract,67.5,7,24,13
30,SWXUM,deep,meaningful,90,2,16,11
31,5Y5J8,deep,abstract,77.5,4,22,9
32,768JX,deep,abstract,72.5,4,10,2
33,2PK37,shallow,abstract,80,2,16,4
34,FFYD8,deep,abstract,65,3,23,7
35,GVXCS,deep,abstract,67.5,8,13,4
36,LMGEF,shallow,abstract,62.5,3,55,15
37,TVFJU,deep,meaningful,57.5,2,113,32
38,FYT2V,shallow,abstract,52.5,3,33,8
39,CAJB5,deep,meaningful,75,0,43,14
40,45SBW,shallow,abstract,52.5,3,27,9
41,F7BGD,shallow,meaningful,82.5,5,31,13
42,XX4WU,shallow,meaningful,92.5,2,33,15
43,LKBCT,shallow,abstract,50,2,28,11
44,B96GE,deep,meaningful,92.5,2,25,13
45,YS7MW,shallow,abstract,57.5,7,10,4
46,4XD63,deep,abstract,57.5,2,108,22
47,6N7QY,shallow,meaningful,90,1,33,15
48,5RPVY,deep,abstract,87.5,1,16,13
49,FJFEC,deep,meaningful,92.5,4,63,16
50,YXCFG,deep,meaningful,87.5,7,35,16
51,STEN8,shallow,meaningful,60,2,19,7
52,7A8FR,shallow,abstract,70,3,145,33
53,SX22Z,deep,meaningful,95,4,32,14
54,M68DJ,deep,abstract,80,1,15,8
55,LQ8DW,shallow,abstract,77.5,1,56,27
56,EJJ6F,shallow,abstract,80,3,27,17
57,4H6P3,deep,meaningful,95,1,21,12
58,KZ48W,shallow,abstract,70,2,30,14
59,ED7D4,shallow,abstract,55,4,11,4
60,NN5PX,shallow,abstract,60,3,27,18
61,QRGWA,deep,abstract,45,0,21,13
62,Y9XPF,shallow,meaningful,87.5,0,33,15
63,2KWXC,shallow,abstract,82.5,3,19,7
64,6LK4Z,deep,meaningful,95,2,25,8
65,VR7GS,deep,abstract,77.5,0,12,5
66,S43LT,deep,meaningful,80,22,8,5
67,2S4ZV,shallow,meaningful,95,0,26,8
68,Z9ZJ9,deep,abstract,72.5,13,18,10
69,EX5UG,shallow,abstract,60,7,20,12
70,A6449,shallow,meaningful,95,3,15,4
71,RCHCN,deep,abstract,92.5,2,10,9
72,U8GKZ,shallow,meaningful,95,0,44,22
73,HWDKQ,shallow,meaningful,95,1,23,11
74,G4KP9,deep,abstract,92.5,1,23,9
75,MUG4L,deep,meaningful,92.5,0,28,11
76,CPFC4,deep,abstract,52.5,0,15,8
77,8ZKMX,shallow,meaningful,90,1,32,10
78,3KDG7,shallow,abstract,80,1,41,21
79,ZG3KR,deep,abstract,45,9,6,2
80,S2XPH,deep,abstract,77.5,5,1,0
81,VX3H7,deep,meaningful,90,3,23,16
82,V8W2K,shallow,meaningful,95,3,25,9
83,AHV7M,deep,abstract,85,0,13,7
84,XP93K,shallow,meaningful,95,2,12,7
85,7PM5C,deep,meaningful,87.5,0,124,31
86,M6M94,deep,meaningful,85,3,32,12
87,H4MUU,deep,meaningful,95,1,21,7
88,ZXNBK,shallow,abstract,75,6,40,17
89,Z43BW,deep,abstract,92.5,0,32,12
90,3WKDA,shallow,meaningful,97.5,1,14,5
91,R4NR5,shallow,abstract,70,5,28,11
92,QACBF,shallow,meaningful,95,2,31,10
93,HH353,deep,abstract,87.5,2,17,7
94,HFYTA,shallow,abstract,47.5,2,26,11
95,EPV8S,deep,meaningful,97.5,3,13,6
96,T7XNV,deep,abstract,62.5,6,26,11
97,RZCSS,deep,abstract,82.5,3,20,5
98,8CRJ2,deep,meaningful,92.5,1,13,5
99,6G7YQ,shallow,meaningful,90,1,1,0
100,Q26GQ,shallow,abstract,57.5,14,33,19
101,JQVYA,shallow,meaningful,45,1,30,14
102,QCDN9,deep,meaningful,97.5,1,37,10
103,5CFVS,shallow,meaningful,92.5,0,43,24
104,LKGGA,deep,meaningful,92.5,6,28,9
105,9XEU4,deep,meaningful,70,0,25,4
106,L3YWT,shallow,abstract,80,3,32,14
107,M84SY,deep,meaningful,95,0,38,18
108,SX3GD,deep,abstract,85,0,17,8
109,VH8V6,deep,meaningful,92.5,2,10,2
110,BE693,shallow,abstract,42.5,9,1,0
111,AY9QY,deep,abstract,87.5,0,31,17
112,T62P4,shallow,meaningful,87.5,4,24,9
113,99EJE,deep,abstract,85,6,26,8
114,33EKR,shallow,meaningful,95,2,26,10
115,DHCHK,deep,abstract,82.5,4,21,9
116,GJ3WR,shallow,meaningful,92.5,1,25,16
117,6YE97,deep,meaningful,95,6,24,8
118,ADJ4W,deep,meaningful,90,4,32,11
119,EJYNG,shallow,meaningful,97.5,2,25,17
120,S6457,shallow,abstract,57.5,5,24,9
121,5XUB6,deep,abstract,62.5,4,34,15
122,LLSY9,deep,abstract,77.5,0,28,13
123,26UVE,shallow,meaningful,97.5,3,25,11
124,AJHAY,deep,meaningful,95,10,14,9
125,B7AEW,deep,abstract,80,0,34,17
126,2BSN9,deep,meaningful,92.5,4,24,12
127,R3W72,shallow,abstract,85,13,12,5
128,CQWE9,deep,meaningful,85,5,26,7
129,LGFVN,deep,abstract,72.5,3,18,9
130,ASRP9,deep,abstract,85,3,21,11
131,BAYCE,shallow,abstract,72.5,3,19,12
132,2VARY,shallow,meaningful,55,2,27,15
